公司名称,薪资,工作岗位,要求工作经验,要求学历,公司地址,公司人数,标签1,标签2,标签3,招聘链接
BME,15-30K·15薪,环保数据算法工程师,1-3年,硕士,成都·武侯区·新会展中心,20-99人,算法设计,Python,数据分析,https://www.zhipin.com/job_detail/7c9ad50d627b9de61n1-09y0EVdQ.html?lid=89AapUgEF39.search.266&securityId=aoZ48oyWsyWnv-f1rNxJkoiI2EyhvTOW071cMS2w08bIcaCE_c6ZhZMfe0kVOwzQdx2ngYbz3KgHoXkHAhh2epjoYpcAneljq2bRfmvSQocYOUKAdC0~
华为,30-50K,数据开发工程师,3-5年,本科,成都·郫都区·高新西,20-99人,SQL,数据分析,数据开发,https://www.zhipin.com/job_detail/971f10a4850652e41nVy0t-4E1FV.html?lid=89AapUgEF39.search.267&securityId=GmvLLOPU1XhEz-N1JVWwfGtRzl7_KqWfmHfao1WqRZaCcl7Yc5NZtbh7gtpZbKZxOFpWffzJ0R3eGD0inaaa-N4qaWAZI-hhnaJXXUb6H9nwlA~~
贵州润可,18-22K,大数据开发工程师,3-5年,本科,成都·武侯区·孵化园,20-99人,ETL,数据库开发,数据挖掘,https://www.zhipin.com/job_detail/381d5cf0c3c502ad0nJz2Nm_ElI~.html?lid=89AapUgEF39.search.268&securityId=df_bDUwE31Zzb-81GPgv4-TqBNhinVGxoFJfclpzJP-fcLe5EsqteV-9GuWSwFFOT9Ei2zFPZ9GkwFFAkNgWE_KPjchGgCmzWKdC5nNBdVMeNelM
成都蚂蚁集团,4-6K,数据分析员,经验不限,大专,成都·武侯区·高朋大道,20-99人,坐班,,,https://www.zhipin.com/job_detail/dceb5667bd0474001XV62NW9FVVR.html?lid=89AapUgEF39.search.269&securityId=cuOOjBmP-JrTV-F1cnCvn7Y5pETEVm3-HeErCBNgNM0-eEyIBKFtZYJbkF-wILcfVGWqvqpawJTYb2XWP3voSEpfckKbZ4QyJ2B-UHSloZyGhe8~
西瓜创客,12-20K·14薪,大数据分析师,3-5年,本科,成都·双流区·华阳,20-99人,SQL,Excel,回归分析,https://www.zhipin.com/job_detail/ef96dd0a80465b0e1XVz09W-FFFQ.html?lid=89AapUgEF39.search.270&securityId=Elm59bKyIoWUB-C1IbSDN3Om9V8UJNYDJj3P95iibf0JpJ_HnUnt4UJlDKT8DqxYzHHlpagYSvvuPjTX2DmLbY31LPteKjmcpsN2FYIPuJxiZSA~
饿了么,20-35K·13薪,阿里本地生活-BI数据分析师-成都P7,5-10年,本科,成都·锦江区·合江亭,10000人以上,SQL,Excel,,https://www.zhipin.com/job_detail/e214f9685632a79b1XZ839i8EVJU.html?lid=89AapUgEF39.search.271&securityId=2zBRi2CCsxfh5-B1QmKzKb7SbwKEzU5-cerFLXKqVCbawbpTr6gJuZR8WXq-WpZShG8IjXh8NzShqPEKccdYoSk0nP-a0-Zbl3yI3vCipFeooRc~
腾讯,30-60K,《王者荣耀》商业数据分析师/咨询顾问-成都,3-5年,本科,成都·武侯区·新会展中心,10000人以上,Python,SPSS,Tableau,https://www.zhipin.com/job_detail/54a882353860a23f1XZ62N-8GVRR.html?lid=89AapUgEF39.search.272&securityId=az8QCiCSyRyab-v1Qp3CPEOZxzZ22jiY_9xCmzeLtykR0UGBMJYf2K-CvCo9c2twJo9v8_ny0cUuk4ypuqc1et8mjEJYRJH_lPKSv_l3rl95xdby1kc~
书声科技,4-5K,商业分析师（实习生）,在校/应届,学历不限,成都·武侯区·新会展中心,10000人以上,商业分析,教育行业,数据分析,https://www.zhipin.com/job_detail/13089f25993cf80f1nRz3d-_ElZX.html?lid=89AapUgEF39.search.273&securityId=v20dqG7yb2KEH-21l8Xn0yb62_5BZXVAFb4neR981Y-oe06mkFM85mT48g3HsbQRq2y3bBSqY82dXKYWhnqwWv1XLqjnNIUzMOnRny_r21sf0Fyd
麦可思数据科技,6-10K,数据分析师（欢迎应届生投递）,经验不限,本科,成都·双流区·华阳,10000人以上,Excel,SAS,报告撰写,https://www.zhipin.com/job_detail/e710cd0c5ea8a7731nJ82dy5E1NQ.html?lid=89AapUgEF39.search.274&securityId=Pe15M9wipXVoK-21DwiQS-ZDtACSCogo5lUuZnv83y0v5sJU4NAJv0p56ks8e4FxKHKChg429HPAX2Qj3_dgzJvD9NEHWVszXI5__2SFYkr4QO0Q0dQ~
星合互娱,8-13K,游戏数据运营,经验不限,学历不限,成都·武侯区·新会展中心,10000人以上,游戏类产品,游戏运营,数据分析,https://www.zhipin.com/job_detail/bb5ae964d41be8e61XV429u1FVpR.html?lid=89AapUgEF39.search.275&securityId=3VPi_PRYpCQ4X-N1gxoSoQ2pyYNPaC9B4fxsj_Sm-DXt4eFKFQTAOxk9DW6TU9X9YQXQGStEwhr962VMhSC7OGJGPS10QeA4BXS_WcXQLib5THxTL6o~
蚂蚁金服,25-50K·16薪,业务数据开发工程师,3-5年,本科,成都·武侯区·新会展中心,10000人以上,ETL,数据分析,分布式技术,https://www.zhipin.com/job_detail/c1913e9951b2fc973nN_0ty5F1M~.html?lid=89AapUgEF39.search.276&securityId=x4kdgKyt0ukY7-81zR3nNFhKKkA0HKcv3NItPUO4D2LAmFxyYsyK7deXAF1eHeIMZyEa7-ahPzJ7frI0VS9LiIA2kiU3yJ2_coz9WDOasKN3
